,Country,Group,Year,Host,PastGroup,DifficultGroup,RankFIFA,QualiStreak,Caps,eliteClub,Age
0,Denmark,A,1/1/02,0,1,1,20,2,24,7,26.21271699
1,France,A,1/1/02,0,0,1,1,2,38.30434783,15,27.3703755
2,Senegal,A,1/1/02,0,1,1,42,1,17.82608696,0,24.35542718
3,Uruguay,A,1/1/02,0,0,1,24,1,22.86956522,5,25.3455194
4,Spain,B,1/1/02,0,1,0,8,7,18.04347826,8,25.91527869
5,Slovenia,B,1/1/02,0,0,0,25,1,31.82608696,2,27.43493612
6,Paraguay,B,1/1/02,0,1,0,18,2,34.2173913,2,26.97068232
7,South Africa,B,1/1/02,0,0,0,37,2,22.65217391,3,25.9680544
8,Brazil,C,1/1/02,0,1,0,2,17,28.04347826,6,26.28783557
9,Turkey,C,1/1/02,0,1,0,22,1,31.56521739,3,27.29843913
10,China,C,1/1/02,0,0,0,50,1,42.1,1,26.1
11,Costa Rica,C,1/1/02,0,0,0,29,1,39.91304348,1,25.8707167
12, South Korea,D,1/1/02,1,1,0,40,5,42,0,26.2
13,Poland,D,1/1/02,0,0,0,38,1,25.82608696,1,27.64884998
14,United States,D,1/1/02,0,1,0,13,4,50.13043478,1,27.67039612
15,Portugal,D,1/1/02,0,0,0,5,1,32.7826087,9,27.88379727
16,Germany,E,1/1/02,0,1,0,11,12,23.91304348,9,27.38462368
17,Saudi Arabia,E,1/1/02,0,0,0,34,3,48.17391304,0,25.88488708
18,Republic of Ireland,E,1/1/02,0,1,0,15,1,33.47826087,2,26.30644227
19,Cameroon,E,1/1/02,0,0,0,17,4,28.47826087,4,24.46291979
20,Argentina,F,1/1/02,0,0,1,3,8,40.52173913,5,28.01065207
21,Nigeria,F,1/1/02,0,0,1,27,3,17.34782609,5,23.13110659
22,England,F,1/1/02,0,1,1,12,2,23.91304348,11,24.90240869
23,Sweden,F,1/1/02,0,1,1,19,1,27.30434783,3,26.81125196
24,Italy,G,1/1/02,0,1,0,6,11,27.13043478,14,26.96853961
25,Ecuador,G,1/1/02,0,0,0,36,1,34.26086957,0,27.12261788
26,Croatia,G,1/1/02,0,0,0,21,2,27.56521739,4,26.64673477
27,Mexico,G,1/1/02,0,1,0,7,3,39.73913043,0,27.11558987
28,Japan,H,1/1/02,1,1,0,32,2,21.17391304,1,25.00788232
29,Belgium,H,1/1/02,0,1,0,23,6,23.86956522,1,28.20309759
30,Russia,H,1/1/02,0,0,0,28,1,30.65217391,2,26.49583401
31,Tunisia,H,1/1/02,0,0,0,31,2,31.2173913,1,26.62658056
32,Germany,A,1/1/06,1,1,0,19,14,32.2173913,9,26.4080654
33,Ecuador,A,1/1/06,0,1,0,39,2,34.7826087,0,26.48163177
34,Poland,A,1/1/06,0,0,0,29,2,23.82608696,1,26.70983037
35,Costa Rica,A,1/1/06,0,0,0,26,2,39.04347826,0,27.43311397
36,England,B,1/1/06,0,1,0,10,3,32.08695652,17,25.34873347
37,Sweden,B,1/1/06,0,1,0,16,2,39.39130435,4,27.59905495
38,Paraguay,B,1/1/06,0,0,0,33,3,32.08695652,2,26.7201868
39,Trinidad and Tobago,B,1/1/06,0,0,0,47,1,40.2173913,0,28.46812062
40,Argentina,C,1/1/06,0,1,1,9,9,24.26086957,8,26.15224965
41,Netherlands,C,1/1/06,0,1,1,3,1,25.2173913,15,26.5641261
42,Ivory Coast,C,1/1/06,0,0,1,32,1,23.13043478,5,25.49491389
43,Serbia and Montenegro,C,1/1/06,0,0,1,44,1,26.91304348,3,27.8446333
44,Portugal,D,1/1/06,0,1,0,7,2,34.47826087,13,27.9466501
45,Mexico,D,1/1/06,0,1,0,4,4,46.95652174,1,26.90751362
46,Angola,D,1/1/06,0,0,0,57,1,19.39130435,1,26.22260196
47,Iran,D,1/1/06,0,0,0,23,1,36.82608696,1,26.6553103
48,Italy,E,1/1/06,0,1,0,13,12,32.91304348,11,28.28162707
49,Ghana,E,1/1/06,0,1,0,48,1,16.7826087,3,24.71211057
50,Czech republic,E,1/1/06,0,0,0,2,1,37,8,29.8
51,United States,E,1/1/06,0,0,0,5,5,44.7826087,3,28.21389363
52,Brazil,F,1/1/06,0,1,0,1,18,43.7826087,18,28.3167437
53,Australia,F,1/1/06,0,1,0,42,1,27,3,28.05152384
54,Croatia,F,1/1/06,0,0,0,23,3,32.73913043,3,27.53465461
55,Japan,F,1/1/06,0,0,0,18,3,45.60869565,0,27.3145507
56,Switzerland,G,1/1/06,0,1,0,35,1,23.39130435,5,25.20660038
57,France,G,1/1/06,0,1,0,8,3,38.82608696,16,28.70219339
58,South Korea,G,1/1/06,0,0,0,29,6,42.6,2,26
59,Togo,G,1/1/06,0,0,0,61,1,21.04347826,1,25.51812658
60,Spain,H,1/1/06,0,1,0,5,8,25.26086957,12,25.72823118
61,Ukraine,H,1/1/06,0,1,0,45,1,29.73913043,1,26.00654538
62,Tunisia,H,1/1/06,0,0,0,21,3,30.69565217,1,26.3770739
63,Saudi Arabia,H,1/1/06,0,0,0,34,4,43.7826087,0,26.48829798
64,Uruguay,A,1/1/10,0,1,1,25,1,23.04347826,5,26.64423964
65,Mexico,A,1/1/10,0,1,1,18,5,43.34782609,4,27.13218228
66,South Africa,A,1/1/10,1,0,1,85,1,32.56521739,0,26.87327151
67,France,A,1/1/10,0,0,1,9,4,30.65217391,14,27.6221486
68,Argentina,B,1/1/10,0,1,0,6,10,24.43478261,9,27.17944094
69,South Korea,B,1/1/10,0,1,0,48,7,44.69565217,1,27.14265775
70,Greece,B,1/1/10,0,0,0,16,1,30.65217391,1,27.64809919
71,Nigeria,B,1/1/10,0,0,0,32,1,25.91304348,0,25.80965416
72,United States,C,1/1/10,0,1,0,11,6,35.34782609,1,26.8333933
73,England,C,1/1/10,0,1,0,7,4,35.65217391,11,28.49339822
74,Slovenia,C,1/1/10,0,0,0,49,1,22.60869565,1,26.75316072
75,Algeria,C,1/1/10,0,0,0,29,1,20.95652174,0,26.26867022
76,Germany,D,1/1/10,0,1,0,5,15,26.56521739,7,24.91031123
77,Ghana,D,1/1/10,0,1,0,38,2,23.65217391,2,24.27868798
78,Australia,D,1/1/10,0,0,0,24,2,32.82608696,0,28.58017797
79,Serbia,D,1/1/10,0,0,0,20,2,24.26086957,5,25.9939272
80,Netherlands,E,1/1/10,0,1,0,3,2,37.5,14,27.6638124
81,Japan,E,1/1/10,0,1,0,40,4,47.73913043,0,27.80773108
82,Denmark,E,1/1/10,0,0,0,27,1,36.56521739,5,27.85832284
83,Cameroon,E,1/1/10,0,0,0,14,1,29.60869565,4,25.14577123
84,Paraguay,F,1/1/10,0,1,0,21,4,33.47826087,4,28.30305417
85,Slovakia,F,1/1/10,0,1,0,33,1,24.52173913,1,26.09213474
86,New Zealand,F,1/1/10,0,0,0,83,1,21.47826087,0,27.42942375
87,Italy,F,1/1/10,0,0,0,4,13,35.52173913,9,28.29436429
88,Brazil,G,1/1/10,0,1,1,1,19,38.69565217,10,28.71719236
89,Portugal,G,1/1/10,0,1,1,10,3,29.13043478,11,27.80023159
90,Ivory Coast,G,1/1/10,0,0,1,19,2,33.39130435,5,26.63031202
91,North Korea,G,1/1/10,0,0,1,91,1,23.73913043,0,24.85543405
92,Spain,H,1/1/10,0,1,0,2,9,38.30434783,15,25.91262327
93,Chile,H,1/1/10,0,1,0,17,1,24.65217391,0,25.91869428
94,Switzerland,H,1/1/10,0,0,0,13,2,27.43478261,0,26.70852093
95,Honduras,H,1/1/10,0,0,0,35,1,42.2173913,0,27.85403742
96,Brazil,A,1/1/14,1,1,0,11,20,29.65217391,12,27.91665216
97,Mexico,A,1/1/14,0,1,0,24,6,41.2173913,3,26.81458507
98,Croatia,A,1/1/14,0,0,0,18,1,39.86956522,3,26.92148248
99,Cameroon,A,1/1/14,0,0,0,59,2,30.2173913,3,26.15415428
100,Netherlands,B,1/1/14,0,1,1,8,3,28.65217391,8,26.02356802
101,Chile,B,1/1/14,0,1,1,12,2,34.95652174,3,27.55441516
102,Spain,B,1/1/14,0,0,1,1,10,60.47826087,17,27.80796915
103,Australia,B,1/1/14,0,0,1,57,3,17.7826087,1,25.92024179
104,Colombia,C,1/1/14,0,1,0,4,1,28.26086957,5,27.02826085
105,Greece,C,1/1/14,0,1,0,15,2,38.7826087,1,28.06307066
106,Ivory Coast,C,1/1/14,0,0,0,17,3,38.39130435,2,27.38764091
107,Japan,C,1/1/14,0,0,0,44,5,40.39130435,3,26.87517614
108,Costa Rica,D,1/1/14,0,1,1,31,1,34.04347826,1,26.99112055
109,Uruguay,D,1/1/14,0,1,1,6,2,49.95652174,5,28.10592486
110,Italy,D,1/1/14,0,0,1,9,14,32.73913043,12,27.46013593
111,England,D,1/1/14,0,0,1,10,5,28.56521739,15,26.12415635
112,France,E,1/1/14,0,1,0,21,5,21.81818182,12,26.02007259
113,Switzerland,E,1/1/14,0,1,0,7,3,32.2173913,2,25.62430976
114,Ecuador,E,1/1/14,0,0,0,22,1,35.39130435,1,27.2874097
115,Honduras,E,1/1/14,0,0,0,34,2,45.91666667,0,28.46339532
116,Argentina,F,1/1/14,0,1,0,3,11,32.2173913,12,28.47816117
117,Nigeria,F,1/1/14,0,1,0,33,2,28.17391304,2,25.36408955
118,Bosnia and Herzegovina,F,1/1/14,0,0,0,16,1,26.26086957,1,26.61447978
119,Iran,F,1/1/14,0,0,0,49,1,30.60869565,0,28.05330943
120,Germany,G,1/1/14,0,1,1,2,16,42.2173913,16,25.74453959
121,United States,G,1/1/14,0,1,1,13,7,35.65217391,1,27.36776132
122,Portugal,G,1/1/14,0,0,1,14,4,38.13043478,7,28.08568816
123,Ghana,G,1/1/14,0,0,1,23,3,30.69565217,3,25.00828068
124,Belgium,H,1/1/14,0,1,0,5,1,32.56,14,25.47
125,Algeria,H,1/1/14,0,1,0,32,2,16.56521739,2,26.14867847
126,Russia,H,1/1/14,0,0,0,19,1,26.69565217,0,27.03814113
127,South Korea,H,1/1/14,0,0,0,56,8,26.39130435,0,25.75144387
128,Uruguay,A,1/1/18,0,1,0,14,3,42.26086957,5,27.68273967
129,Russia,A,1/1/18,1,1,0,70,2,28.52173913,0,28.38983391
130,Saudi Arabia,A,1/1/18,0,0,0,67,1,34.30434783,0,28.28174611
131,Egypt,A,1/1/18,0,0,0,45,1,37.30434783,2,28.5325622
132,Spain,B,1/1/18,0,1,0,10,11,42.2173913,15,28.0396199
133,Portugal,B,1/1/18,0,1,0,4,5,39.52173913,7,27.91748543
134,Iran,B,1/1/18,0,0,0,37,2,30.52173913,0,26.78244442
135,Morocco,B,1/1/18,0,0,0,41,1,24.04347826,3,26.78518233
136,France,C,1/1/18,0,1,0,7,6,26.04347826,13,25.58145556
137,Denmark,C,1/1/18,0,1,0,12,1,26.56521739,3,26.69506948
138,Peru,C,1/1/18,0,0,0,11,1,35.86956522,0,26.99195383
139,Australia,C,1/1/18,0,0,0,36,4,29.82608696,0,27.68595373
140,Croatia,D,1/1/18,0,1,1,20,2,40.30434783,8,27.45477915
141,Argentina,D,1/1/18,0,1,1,5,12,37.34782609,12,29.07216796
142,Nigeria,D,1/1/18,0,0,1,48,3,25.60869565,2,25.51586483
143,Iceland,D,1/1/18,0,0,1,22,1,40.04347826,1,28.1347324
144,Brazil,E,1/1/18,0,1,0,2,21,29.86956522,15,28.15580238
145,Switzerland,E,1/1/18,0,1,0,6,4,37.34782609,6,26.73447153
146,Serbia,E,1/1/18,0,0,0,34,1,25.95652174,2,26.31259577
147,Costa Rica,E,1/1/18,0,0,0,23,2,51.34782609,1,29.32965025
148,Sweden,F,1/1/18,0,1,1,24,1,31.30434783,1,27.78832765
149,Mexico,F,1/1/18,0,1,1,15,7,60.30434783,4,28.79540127
150,South Korea,F,1/1/18,0,0,1,57,9,29.30434783,0,27.33728723
151,Germany,F,1/1/18,0,0,1,1,17,41.08695652,16,26.6903079
152,Belgium,G,1/1/18,0,1,0,3,2,47.26086957,10,27.13694386
153,England,G,1/1/18,0,1,0,12,6,20.95652174,12,25.6018113
154,Tunisia,G,1/1/18,0,0,0,21,1,20.17391304,0,26.07808808
155,Panama,G,1/1/18,0,0,0,55,1,58.47826087,0,28.41780818
156,Colombia,H,1/1/18,0,1,0,16,2,31,6,27.94617394
157,Japan,H,1/1/18,0,1,0,61,6,45,1,28.13151834
158,Senegal,H,1/1/18,0,0,0,27,1,26.60869565,1,26.54138957
159,Poland,H,1/1/18,0,0,0,8,1,35.47826087,3,27.86260826