,Country,Group,Year,Host,PastGroup,DifficultGroup,MedianAge,MedianCaps,FifaRanking
0,Denmark,A,2002,0,1,1,,,
1,France,A,2002,0,0,1,,,
2,Senegal,A,2002,0,1,1,,,
3,Uruguay,A,2002,0,0,1,,,
4,Spain,B,2002,0,1,0,,,
5,Slovenia,B,2002,0,0,0,,,
6,Paraguay,B,2002,0,1,0,,,
7,South Africa,B,2002,0,0,0,,,
8,Brazil,C,2002,0,1,0,,,
9,Turkey,C,2002,0,1,0,,,
10,China,C,2002,0,0,0,,,
11,Costa Rica,C,2002,0,0,0,,,
12, South Korea,D,2002,1,1,0,,,
13,Poland,D,2002,0,0,0,,,
14,United States,D,2002,0,1,0,,,
15,Portugal,D,2002,0,0,0,,,
16,Germany,E,2002,0,1,0,,,
17,Saudi Arabia,E,2002,0,0,0,,,
18,Republic of Ireland,E,2002,0,1,0,,,
19,Cameroon,E,2002,0,0,0,,,
20,Argentina,F,2002,0,0,1,,,
21,Nigeria,F,2002,0,0,1,,,
22,England,F,2002,0,1,1,,,
23,Sweden,F,2002,0,1,1,,,
24,Italy,G,2002,0,1,0,,,
25,Ecuador,G,2002,0,0,0,,,
26,Croatia,G,2002,0,0,0,,,
27,Mexico,G,2002,0,1,0,,,
28,Japan,H,2002,1,1,0,,,
29,Belgium,H,2002,0,1,0,,,
30,Russia,H,2002,0,0,0,,,
31,Tunisia,H,2002,0,0,0,,,
0,Germany,A,2006,1,1,0,,,
1,Ecuador,A,2006,0,1,0,,,
2,Poland,A,2006,0,0,0,,,
3,Costa Rica,A,2006,0,0,0,,,
4,England,B,2006,0,1,0,,,
5,Sweden,B,2006,0,1,0,,,
6,Paraguay,B,2006,0,0,0,,,
7,Trinidad and Tobago,B,2006,0,0,0,,,
8,Argentina,C,2006,0,1,1,,,
9,Netherlands,C,2006,0,1,1,,,
10,Ivory Coast,C,2006,0,0,1,,,
11,Serbia and Montenegro,C,2006,0,0,1,,,
12,Portugal,D,2006,0,1,0,,,
13,Mexico,D,2006,0,1,0,,,
14,Angola,D,2006,0,0,0,,,
15,Iran,D,2006,0,0,0,,,
16,Italy,E,2006,0,1,0,,,
17,Ghana,E,2006,0,1,0,,,
18,Czech republic,E,2006,0,0,0,,,
19,United States,E,2006,0,0,0,,,
20,Brazil,F,2006,0,1,0,,,
21,Australia,F,2006,0,1,0,,,
22,Croatia,F,2006,0,0,0,,,
23,Japan,F,2006,0,0,0,,,
24,Switzerland,G,2006,0,1,0,,,
25,France,G,2006,0,1,0,,,
26,South Korea,G,2006,0,0,0,,,
27,Togo,G,2006,0,0,0,,,
28,Spain,H,2006,0,1,0,,,
29,Ukraine,H,2006,0,1,0,,,
30,Tunisia,H,2006,0,0,0,,,
31,Saudi Arabia,H,2006,0,0,0,,,
0,Uruguay,A,2010,0,1,1,,,
1,Mexico,A,2010,0,1,1,,,
2,South Africa,A,2010,1,0,1,,,
3,France,A,2010,0,0,1,,,
4,Argentina,B,2010,0,1,0,,,
5,South Korea,B,2010,0,1,0,,,
6,Greece,B,2010,0,0,0,,,
7,Nigeria,B,2010,0,0,0,,,
8,United States,C,2010,0,1,0,,,
9,England,C,2010,0,1,0,,,
10,Slovenia,C,2010,0,0,0,,,
11,Algeria,C,2010,0,0,0,,,
12,Germany,D,2010,0,1,0,,,
13,Ghana,D,2010,0,1,0,,,
14,Australia,D,2010,0,0,0,,,
15,Serbia,D,2010,0,0,0,,,
16,Netherlands,E,2010,0,1,0,,,
17,Japan,E,2010,0,1,0,,,
18,Denmark,E,2010,0,0,0,,,
19,Cameroon,E,2010,0,0,0,,,
20,Paraguay,F,2010,0,1,0,,,
21,Slovakia,F,2010,0,1,0,,,
22,New Zealand,F,2010,0,0,0,,,
23,Italy,F,2010,0,0,0,,,
24,Brazil,G,2010,0,1,1,,,
25,Portugal,G,2010,0,1,1,,,
26,Ivory Coast,G,2010,0,0,1,,,
27,North Korea,G,2010,0,0,1,,,
28,Spain,H,2010,0,1,0,,,
29,Chile,H,2010,0,1,0,,,
30,Switzerland,H,2010,0,0,0,,,
31,Honduras,H,2010,0,0,0,,,
0,Brazil,A,2014,1,1,0,,,
1,Mexico,A,2014,0,1,0,,,
2,Croatia,A,2014,0,0,0,,,
3,Cameroon,A,2014,0,0,0,,,
4,Netherlands,B,2014,0,1,1,,,
5,Chile,B,2014,0,1,1,,,
6,Spain,B,2014,0,0,1,,,
7,Australia,B,2014,0,0,1,,,
8,Colombia,C,2014,0,1,0,,,
9,Greece,C,2014,0,1,0,,,
10,Ivory Coast,C,2014,0,0,0,,,
11,Japan,C,2014,0,0,0,,,
12,Costa Rica,D,2014,0,1,1,,,
13,Uruguay,D,2014,0,1,1,,,
14,Italy,D,2014,0,0,1,,,
15,England,D,2014,0,0,1,,,
16,France,E,2014,0,1,0,,,
17,Switzerland,E,2014,0,1,0,,,
18,Ecuador,E,2014,0,0,0,,,
19,Honduras,E,2014,0,0,0,,,
20,Argentina,F,2014,0,1,0,,,
21,Nigeria,F,2014,0,1,0,,,
22,Bosnia and Herzegovina,F,2014,0,0,0,,,
23,Iran,F,2014,0,0,0,,,
24,Germany,G,2014,0,1,1,,,
25,United States,G,2014,0,1,1,,,
26,Portugal,G,2014,0,0,1,,,
27,Ghana,G,2014,0,0,1,,,
28,Belgium,H,2014,0,1,0,,,
29,Algeria,H,2014,0,1,0,,,
30,Russia,H,2014,0,0,0,,,
31,South Korea,H,2014,0,0,0,,,
0,Uruguay,A,2018,0,1,0,,,
1,Russia,A,2018,1,1,0,,,
2,Saudi Arabia,A,2018,0,0,0,,,
3,Egypt,A,2018,0,0,0,,,
4,Spain,B,2018,0,1,0,,,
5,Portugal,B,2018,0,1,0,,,
6,Iran,B,2018,0,0,0,,,
7,Morocco,B,2018,0,0,0,,,
8,France,C,2018,0,1,0,,,
9,Denmark,C,2018,0,1,0,,,
10,Peru,C,2018,0,0,0,,,
11,Australia,C,2018,0,0,0,,,
12,Croatia,D,2018,0,1,1,,,
13,Argentina,D,2018,0,1,1,,,
14,Nigeria,D,2018,0,0,1,,,
15,Iceland,D,2018,0,0,1,,,
16,Brazil,E,2018,0,1,0,,,
17,Switzerland,E,2018,0,1,0,,,
18,Serbia,E,2018,0,0,0,,,
19,Costa Rica,E,2018,0,0,0,,,
20,Sweden,F,2018,0,1,1,,,
21,Mexico,F,2018,0,1,1,,,
22,South Korea,F,2018,0,0,1,,,
23,Germany,F,2018,0,0,1,,,
24,Belgium,G,2018,0,1,0,,,
25,England,G,2018,0,1,0,,,
26,Tunisia,G,2018,0,0,0,,,
27,Panama,G,2018,0,0,0,,,
28,Colombia,H,2018,0,1,0,,,
29,Japan,H,2018,0,1,0,,,
30,Senegal,H,2018,0,0,0,,,
31,Poland,H,2018,0,0,0,,,